It Chapter Two  = 5.8
Insidious  The Last Key  = 4.7
The Aftermath  = 5.6
Grandma  = NotSuchElement
The Imitation Game  = NotSuchElement
Paris Can Wait  = 4.6
The Company You Keep  = 5.5
Noah  = NotSuchElement
Hold the Dark  = 5
Chou lian huan  = NotSuchElement
American Pastoral  Adapting an American Classic  = NotSuchElement
Death Note  = 8.2
The Company You Keep  = 5.5
Noah  = NotSuchElement
Hold the Dark  = 5
Chou lian huan  = NotSuchElement
American Pastoral  Adapting an American Classic  = NotSuchElement
Death Note  = 8.2
The Company You Keep  = 5.5
Noah  = WebDriverConnection
The Company You Keep  = NotSuchElement
Noah  = NotSuchElement
Hold the Dark   = 5
The Company You Keep  = 5.5
Noah  = NotSuchElement
Hold the Dark   = 5
It Chapter Two  = 5.8
Insidious  The Last Key  = 4.7
The Aftermath  = 5.6
Grandma  = NotSuchElement
The Imitation Game  = 7.2
Paris Can Wait  = 4.6
The Company You Keep  = 5.5
Noah  = NotSuchElement
Hold the Dark   = 5
It Chapter Two  = 5.8
Insidious  The Last Key  = 4.7
The Aftermath  = 5.6
